StockNumber,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
PG3453,21/09/2023,147.8817703,148.1323451,146.5518562,146.6193085,5096400,0,0,
JNJ3453,21/09/2023,155.0878327,155.9750231,154.152926,154.2197113,4526700,0,0,
SPY3452,20/09/2023,435.3069742,435.7285386,429.836331,430.0422363,82562600,0,0,0
PG3452,20/09/2023,148.1901789,149.1635239,147.795053,147.901062,5446400,0,0,
JNJ3452,20/09/2023,154.725322,156.0131805,154.219716,155.4121857,3837400,0,0,
SPY3451,19/09/2023,434.0030294,434.6010884,431.3167457,434.0324402,66514600,0,0,0
PG3451,19/09/2023,148.170903,148.4696518,146.2338448,148.0263519,4704200,0,0,
JNJ3451,19/09/2023,154.782565,155.3549563,153.9526107,154.7348633,5550800,0,0,
SPY3450,18/09/2023,434.3657695,436.2481488,433.8853836,434.9344177,55752200,0,0,0
PG3450,18/09/2023,148.8454861,148.8743963,147.9395934,148.4600067,3536500,0,0,
JNJ3450,18/09/2023,154.6585039,155.6410975,153.3515621,154.9924011,5789000,0,0,
SPY3449,15/09/2023,438.3756278,438.7089599,434.2383428,434.6795044,111761400,2,0,0
PG3449,15/09/2023,148.440739,149.6839373,147.6697656,147.901062,10255600,0,0,
JNJ3449,15/09/2023,156.4329206,157.2342712,153.7904186,154.0193634,13388900,0,0,
SPY3448,14/09/2023,438.7202515,440.6839066,437.4013591,439.9804993,83430800,0,0,0
PG3448,14/09/2023,148.2672554,149.2984207,147.8046626,149.1538696,4606800,0,0,
JNJ3448,14/09/2023,157.1006737,157.6635303,155.9177534,156.203949,7758400,0,0,
SPY3447,13/09/2023,435.9359746,437.391625,434.8222338,436.2192993,60199300,0,0,0
PG3447,13/09/2023,146.4650985,148.0166771,146.156718,147.5348206,4040600,0,0,
JNJ3447,13/09/2023,156.2230495,157.3582829,155.4980332,156.4424744,7397500,0,0,
SPY3446,12/09/2023,436.6491696,438.1927422,435.1251252,435.7112732,67565400,0,0,0
PG3446,12/09/2023,149.365903,149.5200859,146.0700059,146.5133057,4537800,0,0,
JNJ3446,12/09/2023,154.7539383,156.3852286,154.0956927,156.0513458,6045800,0,0,
SPY3445,11/09/2023,437.9093814,438.4271653,436.1801854,438.114563,60180100,0,0,0
PG3445,11/09/2023,147.766127,149.4719032,147.5251987,149.1345978,4288500,0,0,
JNJ3445,11/09/2023,153.6473087,155.2022936,153.065383,155.1736755,6309300,0,0,
SPY3444,08/09/2023,434.6463691,436.8054268,434.2849013,435.2520752,61659700,0,0,0
PG3444,08/09/2023,147.8528552,147.8914119,146.8216899,147.3806305,3384700,0,0,
JNJ3444,08/09/2023,152.2449459,153.2847757,151.8633616,153.1703033,6957000,0,0,
SPY3443,07/09/2023,432.8975853,435.2813528,432.5458966,434.5975037,70355400,0,0,0
PG3443,07/09/2023,146.9566175,148.5949269,146.8409619,148.0166931,4824800,0,0,
JNJ3443,07/09/2023,151.8156657,153.647297,151.6630261,152.6647034,9931800,0,0,
SPY3442,06/09/2023,438.0656939,438.1731742,433.5814834,435.9359436,70758500,0,0,0
PG3442,06/09/2023,146.7638596,146.9180572,146.0410747,146.6193085,3877400,0,0,
JNJ3442,06/09/2023,152.4834633,152.6361029,150.1080733,150.7376862,9753800,0,0,
SPY3441,05/09/2023,440.3420328,440.6644141,438.8179885,438.8863525,55166200,0,0,0
PG3441,05/09/2023,148.2190671,149.2309687,146.86986,146.9084167,5097000,0,0,
JNJ3441,05/09/2023,153.1703176,154.5154267,152.9032056,153.28479,9019800,0,0,
SPY3440,01/09/2023,442.7258206,443.2142971,439.3162342,440.7914429,58875700,0,0,0
PG3440,01/09/2023,149.2791679,149.6453836,147.9877957,148.9033203,4126300,0,0,
JNJ3440,01/09/2023,153.9907335,155.0019453,152.6456245,153.0939941,8609500,0,0,
SPY3439,31/08/2023,441.2407911,442.3935884,439.7851407,439.9707642,66084600,0,0,0
PG3439,31/08/2023,148.5274534,149.5297232,148.2479831,148.7394714,5451400,0,0,
JNJ3439,31/08/2023,155.8510061,156.0418128,153.8572003,154.2387848,15333000,0,0,
SPY3438,30/08/2023,439.1501102,441.260332,438.4369238,440.6155396,69053900,0,0,0
PG3438,30/08/2023,148.508183,149.2502315,148.1323355,148.4503479,3712200,0,0,
JNJ3438,30/08/2023,157.5109031,158.1977667,156.1467105,156.1944122,9939100,0,0,
SPY3437,29/08/2023,432.4482237,439.0915217,432.2626002,438.808197,83081900,0,0,0
PG3437,29/08/2023,148.3636284,148.450359,146.513301,148.2865295,4034600,0,0,
JNJ3437,29/08/2023,157.2819658,158.0546837,155.2786256,156.7477417,12208600,0,0,
SPY3436,28/08/2023,432.0476905,433.1809595,429.8300178,432.5557251,61595400,0,0,0
PG3436,28/08/2023,148.1323463,148.7683858,147.4962921,148.1997986,3614700,0,0,
JNJ3436,28/08/2023,157.4059667,158.5602836,155.6601897,156.7286377,18458000,0,0,
SPY3435,25/08/2023,428.5697394,431.1293515,424.9745594,429.8300171,102325100,0,0,0
PG3435,25/08/2023,147.8336019,148.4889345,146.9277238,147.9685211,3541500,0,0,
JNJ3435,25/08/2023,156.738185,160.0580159,156.5092257,158.5984344,18185500,1,0,
SPY3434,24/08/2023,434.4412049,434.9589888,426.7916467,426.8209839,88517300,0,0,0
PG3434,24/08/2023,147.0144378,149.0671367,146.9469708,147.0047913,4088900,0,0,
JNJ3434,24/08/2023,155.3526903,157.8530317,155.1916851,156.3566132,70755100,0,0,
SPY3433,23/08/2023,429.1266074,433.4447528,428.9800704,432.8194885,68441000,0,0,0
PG3433,23/08/2023,146.9373461,147.910691,146.9373461,147.6890411,4522500,0,0,
JNJ3433,23/08/2023,157.1237388,157.6920041,154.8222949,155.8262177,119011400,0,0,
SPY3432,22/08/2023,431.0120765,431.0120765,427.4852908,428.0519104,65062900,0,0,0
PG3432,22/08/2023,145.925446,146.6289525,145.4532212,146.3205719,4196000,0,0,
JNJ3432,22/08/2023,158.0329713,158.9611245,156.6596804,157.2374115,56835400,0,0,
SPY3431,21/08/2023,427.4657843,429.9667817,425.2871981,429.2145386,68719000,0,0,0
PG3431,21/08/2023,146.5711216,147.236086,145.771238,146.2627411,4504700,0,0,
JNJ3431,21/08/2023,160.7132792,160.8648185,157.1806029,158.4970703,151319500,0,0,
SPY3430,18/08/2023,423.3820741,427.4852882,423.0303853,426.4399414,98758400,0,0,0
PG3430,18/08/2023,146.118177,147.3420967,145.684509,147.0047913,5448200,0,0,
JNJ3430,18/08/2023,164.0091633,164.7857916,162.2475583,163.3651428,49617200,0,0,
SPY3429,17/08/2023,430.9925891,431.2563557,425.7072698,426.2348328,95711300,0,0,0
PG3429,17/08/2023,147.6504987,147.9877895,146.2820131,146.5904083,6419500,0,0,
JNJ3429,17/08/2023,163.7155749,166.1117348,163.6208592,164.8047333,70904200,0,0,
SPY3428,16/08/2023,432.2626142,433.9429745,429.4001491,429.5076294,80107200,0,0,0
PG3428,16/08/2023,149.1442565,150.0790595,147.322839,147.6505127,6356800,0,0,
JNJ3428,16/08/2023,163.4030096,165.4866247,163.0241757,163.2704163,85832700,0,0,
SPY3427,15/08/2023,435.9847847,436.3462823,432.1062803,432.6827087,75707500,0,0,0
PG3427,15/08/2023,150.1368699,150.3103459,148.8551443,149.1731567,6921100,0,0,
JNJ3427,15/08/2023,163.6587428,165.3256321,163.0336538,163.7913361,88958100,0,0,
SPY3426,14/08/2023,434.4510261,437.7824097,434.1383939,437.7824097,47867400,0,0,0
PG3426,14/08/2023,151.4282428,151.8137222,149.8573858,150.1368561,4297600,0,0,
JNJ3426,14/08/2023,164.340647,166.3106149,162.6642775,164.2648773,64036900,0,0,
SPY3425,11/08/2023,433.7378155,436.4049079,433.1321094,435.3790894,68664600,0,0,0
PG3425,11/08/2023,150.7536484,151.7462865,150.1368725,151.3222504,3861200,0,0,
JNJ3425,11/08/2023,163.3556625,164.7478995,162.5411567,164.6531982,45904100,0,0,
SPY3424,10/08/2023,437.8605693,441.2896839,434.4510129,435.6331177,93005500,0,0,0
PG3424,10/08/2023,151.466785,152.6328843,150.1465028,150.4452515,4307800,0,0,
JNJ3424,10/08/2023,164.7952661,166.6610527,162.5601113,163.0620728,48213800,0,0,
SPY3423,09/08/2023,438.6811806,438.8472757,434.7049749,435.4767761,78789600,0,0,0
PG3423,09/08/2023,151.6017182,152.3534133,151.0813196,151.1969604,4293200,0,0,
